,year,new
63,2013,"[' A series of terrorist attacks killed more than 100 people in Quetta.[24]', ' A Christian, Sawan Masih, 28 is accused of blasphemy against the Islamic prophet Muhammad in a Christian neighborhood in Badami Bagh area.', ' Sibte Jaffar Hassan Zaidi, a Pakistani professor and social worker was killed by two people who were on a motorcycle.', "" Mir Hazar Khan Khoso is appointed as caretaker Prime Minister of Pakistan, following the completion of the PPP-led government's term in office.[25]"", ' General Elections 2013 held across Pakistan.', ' A school bus explosion kills 17 children and injures seven more in Gujrat.[26]', "" Nawaz Sharif is elected Prime Minister of Pakistan, following the Pakistan Muslim League (N)'s victory in the 2013 general elections for the 3rd time."", ' Mamnoon Hussain is elected as the 12th President of Pakistan in 2013 Presidential elections.', ' People of Pakistan celebrated 66th Independence day.', ' Mamnoon Hussain is sworn in as the 12th President of Pakistan.', ' A 7.7 magnitude earthquake hits Balochistan, at least 825 people are killed and hundreds injured.[27][28]', ' Malala Yousafzai published her first book ""I Am Malala', ' Hakimullah Mehsud, leader of (TTP) killed by a US drone attack.', ' Pakistan Chief of Army Staff, General Ashfaq Parvez Kayani retires. General Raheel Sharif becomes the next COAS.', ' Chief Justice Iftikhar Muhammad Chaudhry retired from his position, he remained in the Supreme Court from 2005 to 2013, Justice Tassaduq Hussain Jillani becomes the next Supreme Court Chief Justice.']"
64,2014,"[' 14-year-old boy Aitizaz Hassan in Hangu, KPK, is killed stopping a suicide bomber from the school.[29]', ' A ten-year-old servant girl is tortured to death in Punjab raising concerns about human rights in Pakistan.', ' War starts in North-West Pakistan.[30]', ' Gunmen attack an Islamic religious gathering in Karachi, killing 8 people.', ' Former president Pervez Musharraf appeared in front of a civil court for the first time.', ' Pakistan vs India match for ICC World T20.[31]', ' Young men with guns open fire at a local court in Islamabad, resulting in at least 11 deaths and 22 injuries.', ' A Pakistani court charges former President Pervez Musharraf with high treason in relation to the imposition of the emergency rule in 2007.', ' A bomb blast in a market kills 26 people in the outskirts of Islamabad.', ' An alleged American FBI agent is arrested for carrying ammunition while trying to board a flight, which is in violation of their anti-terror laws.', ' Geo TV transmission banned by the government.[32]', ' Pakistan Air Force fighter jets bomb suspected militant hideouts in North Waziristan, killing approximately 60 militants and injuring another 30.', ' Pakistani police arrest multiple people involved in the stoning of Farzana Parveen, bringing the total number of people in custody to 12.[33]', ' The process of Long March and Sit-In started by PTI and PAT.', "" Pakistan's 67th dependence day was celebrated during Long March from Lahore to Islamabad."", ' The Pakistan Television Corporation goes off air after protesters storm its headquarters.', ' A ban is imposed on Saeed Ajmal by the ICC.[34]', "" Activist Malala Yousafzai becomes the first Pakistani to win the Nobel Peace Prize for her struggle to voice girls' right to education.[35]"", ' More than 60 people were killed and more than 110 people were injured in a suicide attack on the Pakistan side of the Wagah border.[36]', ' Taliban gunmen storm a military-run Army Public Schools massacre in Peshawar, killing at least 141, including 132 children and nine employees, with most of five hundred students evacuated. The shooting ends with all seven gunmen dead.[37]']"
65,2015,"[' A massive blackout strikes Pakistan, leaving as much as 80 percent of the country without electricity at its height as officials rush to restore power.[38]', "" Pakistan announces the arrest of twelve Tehrik-i-Taliban Pakistan in relation to their alleged involvement in last year's school massacre.[39]"", ' A bombing of a church in Lahore kills at least eleven people with 48 more injured.', ' Zimbabwe cricket team toured Pakistan to play International Cricket Series for the first time since 2009 attack on the Sri Lanka national cricket team.']"
66,2016,"[' The Pakistan and India governments provided one another with a full list of nuclear sites, military and civilian, in accordance with the 1988 Non-Nuclear Aggression Agreement.[40]', ' Former president Pervez Musharraf was acquitted in the murder trial of Akbar Bugti, the Baloch tribal leader who died in a military operation in 2006.[41]', ' First season Pakistan Super League', ' Pakistan plays against India in 2016 T20 World Cup.[42]', ' Pakistan cricket star Shahid Afridi played his last international T20 match for Pakistan against Australia.[43]', ' In Punjab, 33 people died after eating sweets, accidentally tainted with insecticide.[44]', ' Musician Amjad Sabri is killed in a targeted shooting.[45]', ' At least 14 people are killed and 59 burned when a gas cylinder explosion aboard an oil tanker causes a major fire at the Gadani ship-breaking yard.[46][47][48]', ' PIA plane PK-661 crashed during flight killing 47 people including acclaimed former singer and religious scholar Junaid Jumshed and his wife.[49]']"
67,2017,"[' A bombing at a vegetable market in Parachinar, Pakistan leads to the death of 25 people.', ' The second season of the Pakistan Super League began.[50]', ' A suicide bombing at the Shrine of Lal Shahbaz Qalander in Sehwan, Pakistan resulted in the deaths of over 90 people.[51]', "" Pakistan's sixth census begins.[52]"", "" 16th Lux Style Awards's ceremony was held in Karachi and was hosted by Atif Aslam."", ' Pakistan wins 2017 ICC Champions Trophy defeating India in the finals.[53]', ' A unanimous verdict by the Supreme Court of Pakistan disqualifies Prime Minister Nawaz Sharif from office, over the controversy of him and some of his family members names being in the Panama Papers, thus leading to his disqualification for lifetime.[54]', ' Shahid Khaqan Abbasi is sworn in as Prime Minister, succeeding Nawaz Sharif.[55]', ' Benazir Bhutto assassination case is completed.[56]']"
68,2018,"[' The 2018 Pakistani general elections were held.', ' former Prime Minister Nawaz Sharif is sentenced to seven years']"
69,2019,"[' Sahiwal killings[57]', ' Hub accident', ' Jammu and Kashmir airstrikes', ' Sadiqabad Railway Accident', ' Khyber Pakhtunkhwa provincial election', ' Army military plane crash', ' Pakistan earthquake', ' Train fire', ' Attack on Punjab Institute of Cardiology, Lahore.', ' Supreme Court give death sentence verdict on Gen RT. Pervez Musharraf.']"
70,1947,"[' British Government decides to separate British India, into two sovereign Dominions of India and Pakistan.', ' Constituent Assembly of Pakistan approves the design of Pakistan.', ' The Gazette of India publishes that the first Constituent Assembly of Pakistan was given shape with 69 members (later on the membership was increased to 79), including one female member.', ' Pakistan became independent.', ' Pakistan becomes a member of the UN by a unanimous vote of the Security Council.', ' Indian Air troops land in Kashmir as the Maharajah declares accession of Kashmir to India.']"
71,1948,"[' UNO cease-fire orders to operate in Kashmir. War stops accordingly.', ' Indo-Pakistani War of 1947, Pakistan enters war on behalf of Kashmir against India.', ' Quaid-e-Azam inaugurated the State Bank of Pakistan.', "" Pakistan's first postage stamp is issued."", ' Founding father of nation Quaid-e-Azam dies in Karachi due to stroke.', ' India occupied Hyderabad Deccan and Junaghar.', ' Khwaja Nazimuddin becomes 2nd Governor-General of Pakistan.']"
72,1949,"[' United Nations Cease-fire Line established between Pakistan Administered Kashmir (GB & AJ&K) and Indian-held Kashmir', ' Azad Kashmir Government shifts its capital to Muzaffarabad.', ' Objectives Resolution passed by Liaquat Ali Khan.']"
